Random_Seed,Accuracy,Precision,Recall,F1,Balanced_Accuracy,PR_AUC,ROC_AUC
7,0.841876797168768,0.4110964063664646,0.8128100218981894,0.5459902707652735,0.8292687919696317,0.5441469482622091,0.9077869146908646
21,0.8418491484184916,0.41115052540725316,0.8139913848133459,0.5463220555724596,0.8297654914310333,0.5438748024856208,0.9078875069699945
42,0.8423191771731918,0.41209313948563886,0.8149373463817723,0.547359141016606,0.8304419988872999,0.5438732827653384,0.9077252774633026
52,0.8420150409201504,0.41139826034789334,0.8118659033296306,0.5460452210314611,0.8289375247866291,0.5434651742548245,0.9075707262614423
100,0.8418491484184916,0.41117543860184763,0.814699599398847,0.5465028857714133,0.8300726136083942,0.5439802540802684,0.9080608951521141
