Metric,Mean,Std
Accuracy,0.8419818624198189,0.0029835075224046667
Precision,0.4113827540418195,0.0054575056793308855
Recall,0.8136608511643572,0.01027489486316718
F1,0.5464439148314426,0.00586302718330503
Balanced_Accuracy,0.8296972841365976,0.004911297046493272
PR_AUC,0.5438680923696524,0.01100351379847606
ROC_AUC,0.9078062641075436,0.003415213110948398
