Random_Seed,Fold,Accuracy,Precision,Recall,F1,Balanced_Accuracy,PR_AUC,ROC_AUC
42,1,0.8409090909090909,0.4101838755304102,0.8226950354609929,0.5474280320906088,0.8330082353709247,0.5303735922685933,0.9066491193709088
42,2,0.8453052422030525,0.4166971805199561,0.8070921985815603,0.5496256942767448,0.8287292666775921,0.5521548764792995,0.907070880682386
42,3,0.840743198407432,0.40939836240655036,0.815024805102764,0.5450236966824644,0.8295884946133829,0.5490913795481226,0.9094558323366131
7,1,0.8429827471798275,0.4117001828153565,0.798581560283688,0.5433051869722557,0.8237224915827608,0.5373153853044554,0.9020291309092218
7,2,0.8396648971466489,0.4083420960392569,0.8262411347517731,0.5465634529673938,0.8338419650839459,0.5384852847687859,0.9103255243203919
7,3,0.8429827471798275,0.4132469402447804,0.813607370659107,0.5481021723561709,0.8302419192421886,0.5566401747133861,0.91100608884298
21,1,0.8411579296615793,0.4104292302234835,0.8205673758865248,0.5471742728777489,0.8322262015634014,0.5477561941079548,0.9097412806461455
21,2,0.8438951559389516,0.4139314369073669,0.8049645390070922,0.5467244701348748,0.8270079129376997,0.5406236424945411,0.9059394998021433
21,3,0.8404943596549436,0.4090909090909091,0.8164422395464209,0.5450674237047551,0.8300623597919986,0.5432445708543664,0.9079817404616949
52,1,0.8490378234903783,0.4247430249632893,0.8205673758865248,0.559748427672956,0.836687971242154,0.5596841988096087,0.911699995869657
52,2,0.840743198407432,0.40853658536585363,0.8078014184397163,0.5426393520724154,0.826453780796037,0.5482651265416641,0.9075293487515039
52,3,0.836264100862641,0.40091517071453714,0.8072289156626506,0.5357478833490122,0.8236708223216964,0.5224461974132006,0.9034828341631661
100,1,0.8447246184472462,0.41755888650963596,0.8297872340425532,0.5555555555555556,0.8382451105399691,0.5581958705371617,0.913564645863062
100,2,0.8409090909090909,0.4075018208302986,0.7936170212765957,0.5384985563041386,0.8203948341400826,0.5289853664729525,0.9019992858503777
100,3,0.8399137358991373,0.4084656084656085,0.820694542877392,0.5454545454545454,0.831577896145131,0.5447595252306912,0.9086187537429024
