Threshold,Accuracy,Precision,Recall,F1,Balanced_Accuracy
0.1,0.8153616456536165,0.3743968791705164,0.8619711652091704,0.5220440881763527,0.8355790008968481
0.11,0.8292966157929662,0.39278225361439134,0.841172299692744,0.5355100812518808,0.8344478149996425
0.12,0.8403837646538377,0.4089513462446859,0.8184826282202788,0.5453972753760139,0.8308839229963842
0.13,0.8490378234903783,0.42288869368804116,0.7965020089813283,0.5524590163934426,0.8262498772714513
0.14,0.856392391063924,0.4360472838358348,0.7759394942094068,0.5583333333333333,0.8214951251928144
0.15,0.862862198628622,0.4488421052631579,0.755849680926495,0.5632264882000705,0.8164444258970703
0.16,0.8676177836761778,0.45897775813816466,0.7364689198770976,0.5655172413793104,0.8107306242620607
0.17,0.8730369387303694,0.47206314811948613,0.7208697707397779,0.5705200149644594,0.8070328751622927
0.18,0.8775436850254369,0.48394941634241245,0.7055069723469629,0.5740936628521973,0.8029210034731652
0.19,0.8806403450564034,0.4926920462270564,0.6851808083195462,0.5732081067721206,0.7958577742947263
0.2,0.8832946250829462,0.5008852691218131,0.6686362562042071,0.5727300334041907,0.7901843647555149
0.21,0.8866124751161247,0.512014787430684,0.6546915622784212,0.5746291878435847,0.7860144100022848
0.22,0.8892667551426675,0.5216392186901571,0.6438194280311983,0.5763249761980324,0.7828014696595231
0.23,0.8905938951559389,0.5272365805168986,0.6268021744268495,0.5727243278263686,0.7761715415453908
0.24,0.892584605175846,0.5356260296540363,0.6147482864571023,0.5724661604489931,0.7720702637157604
0.25,0.8939393939393939,0.5421558164354322,0.6003308910423067,0.5697622252131,0.7665837064724011
0.26,0.8957365627073657,0.5509300265721878,0.5880406523280548,0.5688807591174116,0.7622703183361161
0.27,0.8973678389736784,0.5597238204833141,0.5748050106357835,0.5671641791044776,0.7574529170660209
0.28,0.8980037602300376,0.5645238095238095,0.5603876152209879,0.5624481081722216,0.7515593084402525
0.29,0.8992203052422031,0.5722030556924593,0.5488064287402505,0.5602605863192183,0.7472247066831165
0.3,0.9002986065029861,0.5795772854596384,0.5379342944930277,0.5579798970335866,0.7431193844635349
0.31,0.9007686352576864,0.5843405149763531,0.5256440557787757,0.5534403384347393,0.738054516852033
0.32,0.9012386640123866,0.5892228540481993,0.5142992200425431,0.5492175668854115,0.7333997274399395
0.33,0.9016257465162575,0.5939157130895897,0.5029543843063106,0.5446634246224725,0.728697970560645
0.34,0.9022063702720637,0.5994269340974212,0.49444575750413616,0.5418987177826706,0.7253360390363778
0.35,0.9026487502764875,0.6050295857988166,0.48333727251240843,0.5373801077387991,0.7207681133517361
0.36,0.9028699402786994,0.6091185410334347,0.47364689198770976,0.5329078579976066,0.716690058387004
0.37,0.9033676177836761,0.614784778540237,0.4658473174190499,0.5300524405002017,0.7135887180450918
0.38,0.9032293740322938,0.6172601860763555,0.45473883242732216,0.5236799129014698,0.7086920200900427
