Model,Strategy,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,Balanced_Accuracy
Logistic Regression,Class Weighting,0.8452947030852593,0.41961338991041963,0.8412098298676749,0.5599245045611828,0.9149981120082195,0.5529031804213818,0.84352288612983
Decision Tree,Class Weighting,0.8775848722768993,0.4749232343909928,0.43856332703213613,0.456019656019656,0.6871589333970949,0.2739700798546992,0.687158933397095
Random Forest,Class Weighting,0.9025765785690589,0.6752475247524753,0.3223062381852552,0.436340371081254,0.9341461364822747,0.6137162078721561,0.6508838642397785
Logistic Regression,SMOTENC,0.853698993696782,0.4282620465619924,0.7476370510396976,0.5445783132530121,0.8881589180090741,0.5219633115760682,0.8076945430527229
Decision Tree,SMOTENC,0.8548048214088245,0.4172615184944841,0.6077504725897921,0.4948056944978838,0.7476448042347833,0.29948273510831924,0.7476448042347834
Random Forest,SMOTENC,0.8844410040915626,0.5043653458697113,0.7098298676748582,0.5897133882999608,0.9226205681020534,0.5514086627643586,0.8087032869996083
