Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,Balanced_Accuracy
Logistic Regression,0.9022448302554462,0.6542553191489362,0.3487712665406427,0.45499383477188654,0.9109389888649914,0.5590708634848998,0.6621752387806532
Decision Tree,0.8773637067344907,0.4759660697455231,0.4773156899810964,0.4766399244926852,0.7038425663430842,0.28833834546412324,0.7038425663430843
Random Forest,0.9062258100187991,0.6635514018691588,0.40264650283553877,0.5011764705882353,0.9351790277848471,0.6177424608520626,0.6877978913676754
