Model,Minority_Precision,Minority_Recall,Minority_F1,Minority_Support
Logistic Regression,0.6542553191489362,0.3487712665406427,0.45499383477188654,1058.0
Decision Tree,0.4759660697455231,0.4773156899810964,0.4766399244926852,1058.0
Random Forest,0.6635514018691588,0.40264650283553877,0.5011764705882353,1058.0
