Strategy,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,Balanced_Accuracy
Class Weighting,0.875152051310406,0.5232613830179625,0.5340264650283554,0.48409484388736423,0.8454343939625297,0.4801964893827457,0.7271885612555679
SMOTENC,0.8643149397323896,0.4499629703087293,0.6884057971014492,0.5430324653502856,0.8528080967819703,0.4576182364829154,0.7880142114290383
